period,561311,561320,561312,561330,year,quarter,561311_seasonal,561311_sa,561320_seasonal,561320_sa,561312_seasonal,561312_sa,561330_seasonal,561330_sa
2020 Q4,34682,341474,3430,53570,2020,4,1.045778277569979,33163.81755470076,1.0266008777590525,332625.8601545297,1.0229037159115872,3353.199276378878,1.0451334186630639,51256.61379054056
2021 Q1,37034,366288,3417,54562,2021,1,0.9797355882535059,37799.99465571876,1.0077751484243231,363462.02877963276,0.9893593672669919,3453.750086219052,0.9716592865710382,56153.4282171562
2021 Q2,35939,371812,3433,56247,2021,2,0.9714504081905114,36995.197795986714,0.9739737239573932,381747.46490005415,0.9908513186729263,3464.6974125218994,0.9815977415102267,57301.47658394342
2021 Q3,37068,375828,3444,57865,2021,3,1.0030357259860032,36955.812280326754,0.9916502498592308,378992.4926185926,0.9968855981484944,3454.7595094126214,1.0016095532556712,57772.012868600665
2021 Q4,39528,396921,4051,63074,2021,4,1.045778277569979,37797.686993316755,1.0266008777590525,386636.1393206981,1.0229037159115872,3960.2945389535967,1.0451334186630639,60350.18962524837
2022 Q1,39554,389769,3807,68348,2022,1,0.9797355882535059,40372.117206143,1.0077751484243231,386761.8690631653,0.9893593672669919,3847.9445648919905,0.9716592865710382,70341.52911891411
2022 Q2,40820,399100,3822,67437,2022,2,0.9714504081905114,42019.643674898514,0.9739737239573932,409764.64783711015,0.9908513186729263,3857.2891088431984,0.9815977415102267,68701.25831406817
2022 Q3,42502,398533,3881,68444,2022,3,1.0030357259860032,42373.366071502314,0.9916502498592308,401888.66997872846,0.9968855981484944,3893.1247549449427,1.0016095532556712,68334.01276727735
2022 Q4,43948,399809,4027,69886,2022,4,1.045778277569979,42024.20431042008,1.0266008777590525,389449.3066017394,1.0229037159115872,3936.831920110129,1.0451334186630639,66868.0177593003
2023 Q1,42121,376577,3631,65321,2023,1,0.9797355882535059,42992.21188349975,1.0077751484243231,373671.64747889026,0.9893593672669919,3670.051671952408,0.9716592865710382,67226.23959115979
2023 Q2,41556,348729,3533,63954,2023,2,0.9714504081905114,42777.273702941755,0.9739737239573932,358047.64689448156,0.9908513186729263,3565.6207277715907,0.9815977415102267,65152.96164150119
2023 Q3,40250,336648,3430,66368,2023,3,1.0030357259860032,40128.181835630516,0.9916502498592308,339482.59484408813,0.9968855981484944,3440.7157715694802,1.0016095532556712,66261.34883026508
2023 Q4,40630,340570,3359,67731,2023,4,1.045778277569979,38851.44764568053,1.0266008777590525,331745.2842466137,1.0229037159115872,3283.789028966954,1.0451334186630639,64806.08005688077
2024 Q1,37085,324283,3087,64096,2024,1,0.9797355882535059,37852.0495168583,1.0077751484243231,321781.1041550519,0.9893593672669919,3120.200911957335,0.9716592865710382,65965.50960387896
2024 Q2,35842,320256,3066,63784,2024,2,0.9714504081905114,36895.34709935601,0.9739737239573932,328813.79869135947,0.9908513186729263,3094.308845555533,0.9815977415102267,64979.774608961314
2024 Q3,37378,318319,2928,61726,2024,3,1.0030357259860032,37264.87405347074,0.9916502498592308,320999.26364682184,0.9968855981484944,2937.14745747972,1.0016095532556712,61626.80836995152
2024 Q4,38689,334058,2940,60961,2024,4,1.045778277569979,36995.41368357701,1.0266008777590525,325402.0206267589,1.0229037159115872,2874.1708083247527,1.0451334186630639,58328.43817967413
