level,soc,occupation,employment,annual_mean_wage,annual_median_wage
detail,29-1021,"Dentists, General",180,193810,160210
detail,29-1031,Dietitians and Nutritionists,560,73970,75030
detail,29-1051,Pharmacists,1700,132200,129700
detail,29-1071,Physician Assistants,1760,161810,166290
detail,29-1122,Occupational Therapists,2130,94270,100550
detail,29-1123,Physical Therapists,3480,87730,84580
detail,29-1124,Radiation Therapists,300,79150,80180
detail,29-1125,Recreational Therapists,150,73820,71050
detail,29-1126,Respiratory Therapists,2980,89170,80250
detail,29-1127,Speech-Language Pathologists,3560,103120,102770
detail,29-1129,"Therapists, All Other",140,84800,86900
detail,29-1131,Veterinarians,,148480,152190
detail,29-1141,Registered Nurses,84640,96070,89800
detail,29-1171,Nurse Practitioners,3120,137960,134330
detail,29-1181,Audiologists,180,124300,132150
detail,29-1215,Family Medicine Physicians,70,258080,254110
detail,29-1216,General Internal Medicine Physicians,,219050,230000
detail,29-1223,Psychiatrists,,276660,280010
detail,29-1229,"Physicians, All Other",730,322290,378710
detail,29-1292,Dental Hygienists,970,92320,95300
detail,29-2031,Cardiovascular Technologists and Technicians,620,82040,81120
detail,29-2032,Diagnostic Medical Sonographers,1190,93900,100920
detail,29-2033,Nuclear Medicine Technologists,70,111500,94910
detail,29-2034,Radiologic Technologists and Technicians,5340,84540,79860
detail,29-2035,Magnetic Resonance Imaging Technologists,800,89140,89350
detail,29-2042,Emergency Medical Technicians,,49590,48350
detail,29-2043,Paramedics,130,76900,60990
detail,29-2051,Dietetic Technicians,,35180,35620
detail,29-2052,Pharmacy Technicians,2430,46170,44820
detail,29-2053,Psychiatric Technicians,1430,49690,46330
detail,29-2055,Surgical Technologists,3880,70370,62260
detail,29-2057,Ophthalmic Medical Technicians,60,57360,53590
detail,29-2061,Licensed Practical and Licensed Vocational Nurses,23600,76060,77800
detail,29-2072,Medical Records Specialists,3570,53730,47330
detail,29-2099,"Health Technologists and Technicians, All Other",1600,53660,44210
detail,29-9021,Health Information Technologists and Medical Registrars,410,,
detail,29-9091,Athletic Trainers,60,58380,59660
detail,29-9093,Surgical Assistants,270,102680,99020
detail,29-9099,"Healthcare Practitioners and Technical Workers, All Other",350,66380,51430
major,31-0000,Healthcare Support Occupations,86180,46660,46300
detail,31-1131,Nursing Assistants,38420,49070,48360
detail,31-1132,Orderlies,290,39350,38090
detail,31-1133,Psychiatric Aides,180,40970,38340
detail,31-2011,Occupational Therapy Assistants,,70370,72040
detail,31-2021,Physical Therapist Assistants,770,63330,67400
detail,31-2022,Physical Therapist Aides,,42960,43680
